tweet_id,label
1,fake
2,fake
3,fake
4,hate
5,fake
6,fake
7,fake
8,fake
9,hate
10,fake
11,hate
12,fake
13,fake
14,fake
15,fake
16,hate
17,fake
18,fake
19,fake
20,fake
21,fake
22,fake
23,fake
24,fake
25,fake
26,fake
27,fake
28,fake
29,fake
30,hate
31,fake
32,fake
33,hate
34,hate
35,fake
36,fake
37,fake
38,fake
39,fake
40,fake
41,fake
42,fake
43,fake
44,fake
45,hate
46,fake
47,fake
48,fake
49,fake
50,fake
51,fake
52,hate
53,hate
54,fake
55,fake
56,fake
57,fake
58,fake
59,fake
60,fake
61,fake
62,fake
63,fake
64,fake
65,fake
66,fake
67,fake
68,fake
69,hate
70,fake
71,fake
72,fake
73,fake
74,fake
75,fake
76,fake
77,fake
78,fake
79,hate
80,fake
81,fake
82,fake
83,hate
84,fake
85,fake
86,fake
87,fake
88,fake
89,fake
90,hate
91,hate
92,hate
93,fake
94,hate
95,fake
96,fake
97,fake
98,fake
99,fake
100,fake
101,fake
102,fake
103,hate
104,fake
105,hate
106,fake
107,fake
108,fake
109,fake
110,hate
111,fake
112,fake
113,fake
114,hate
115,fake
116,fake
117,hate
118,fake
119,fake
120,fake
121,fake
122,hate
123,fake
124,hate
125,hate
126,fake
127,hate
128,hate
129,fake
130,hate
131,fake
132,fake
133,fake
134,fake
135,fake
136,hate
137,fake
138,fake
139,fake
140,fake
141,hate
142,fake
143,fake
144,fake
145,fake
146,fake
147,fake
148,fake
149,fake
150,hate
151,hate
152,fake
153,fake
154,fake
155,fake
156,fake
157,hate
158,fake
159,hate
160,fake
161,fake
162,fake
163,fake
164,fake
165,hate
166,fake
167,fake
168,fake
169,hate
170,fake
171,fake
172,fake
173,fake
174,fake
175,hate
176,hate
177,hate
178,fake
179,fake
180,hate
181,fake
182,fake
183,fake
184,fake
185,hate
186,fake
187,fake
188,hate
189,fake
190,fake
191,fake
192,fake
193,fake
194,fake
195,fake
196,fake
197,hate
198,fake
199,fake
200,hate
201,fake
202,fake
203,hate
204,fake
205,fake
206,fake
207,fake
208,fake
209,fake
210,fake
211,fake
212,fake
213,fake
214,fake
215,fake
216,fake
217,hate
218,fake
219,fake
220,fake
221,fake
222,fake
223,fake
224,fake
225,fake
226,fake
227,fake
228,fake
229,fake
230,fake
231,fake
232,fake
233,fake
234,hate
235,fake
236,hate
237,fake
238,fake
239,fake
240,fake
241,fake
242,fake
243,fake
244,fake
245,hate
246,fake
247,fake
248,fake
249,fake
250,fake
251,fake
252,fake
253,fake
254,fake
255,fake
256,hate
257,fake
258,fake
259,fake
